ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,3.13,1,Positivo,Negativo,906_orig_1037.jpg
2,3.11,1,Positivo,Negativo,1420_orig_1915.jpg
3,6.06,3,Neutral,Neutral,790_orig_889.jpg
4,5.36,1,Positivo,Positivo,51_orig_50.jpg
5,4.75,3,Neutral,Positivo,77_orig_76.jpg
6,3.44,2,Negativo,Negativo,1150_orig_1386.jpg
7,4.16,2,Negativo,Neutral,811_orig_910.jpg
8,3.38,1,Positivo,Neutral,859_orig_958.jpg
9,4.59,1,Positivo,Negativo,584_orig_683.jpg
10,4.99,3,Neutral,Positivo,91_orig_90.jpg
11,4.83,3,Neutral,Positivo,272_orig_271.jpg
12,5.48,1,Positivo,Negativo,796_orig_895.jpg
13,5.54,1,Positivo,Negativo,41_orig_40.jpg
14,3.84,1,Positivo,Neutral,336_orig_435.jpg
15,5.39,2,Negativo,Negativo,361_orig_460.jpg
16,4.83,3,Neutral,Neutral,640_orig_739.jpg
17,5.66,3,Neutral,Positivo,1123_orig_1359.jpg
18,5.68,3,Neutral,Negativo,1292_orig_1629.jpg
19,5.76,2,Negativo,Neutral,722_orig_821.jpg
20,7.37,1,Positivo,Positivo,1134_orig_1370.jpg
21,4.15,3,Neutral,Negativo,324_orig_423.jpg
22,4.77,1,Positivo,Positivo,33_orig_32.jpg
23,4.14,1,Positivo,Neutral,873_orig_972.jpg
24,7.75,2,Negativo,Negativo,1322_orig_1659.jpg
25,4.13,3,Neutral,Neutral,130_orig_129.jpg
26,5.32,1,Positivo,Negativo,184_orig_183.jpg
27,4.6,1,Positivo,Positivo,105_orig_104.jpg
28,4.39,1,Positivo,Neutral,262_orig_261.jpg
29,5.94,1,Positivo,Negativo,198_orig_197.jpg
30,3.3,1,Positivo,Neutral,746_orig_845.jpg
31,4.76,2,Negativo,Positivo,82_orig_81.jpg
32,4.69,1,Positivo,Negativo,292_orig_291.jpg
33,3.0,2,Negativo,Negativo,916_orig_1094.jpg
34,4.84,3,Neutral,Negativo,251_orig_250.jpg
35,3.35,2,Negativo,Neutral,573_orig_672.jpg
36,5.19,1,Positivo,Positivo,58_orig_57.jpg
37,4.0,3,Neutral,Negativo,760_orig_859.jpg
38,4.8,1,Positivo,Neutral,246_orig_245.jpg
39,4.86,2,Negativo,Negativo,432_orig_531.jpg
40,5.07,1,Positivo,Neutral,779_orig_878.jpg
41,7.54,1,Positivo,Positivo,5_orig_4.jpg
42,5.14,1,Positivo,Neutral,420_orig_519.jpg
43,5.34,3,Neutral,Neutral,850_orig_949.jpg
44,5.39,2,Negativo,Positivo,1120_orig_1356.jpg
45,5.69,3,Neutral,Negativo,264_orig_263.jpg
46,5.52,3,Neutral,Negativo,87_orig_86.jpg
47,4.0,2,Negativo,Positivo,1155_orig_1391.jpg
48,4.91,1,Positivo,Negativo,704_orig_803.jpg
49,4.62,1,Positivo,Neutral,726_orig_825.jpg
50,5.12,1,Positivo,Neutral,250_orig_249.jpg
51,4.84,2,Negativo,Positivo,153_orig_152.jpg
52,3.72,1,Positivo,Neutral,831_orig_930.jpg
53,5.73,1,Positivo,Positivo,26_orig_25.jpg
54,5.1,1,Positivo,Positivo,71_orig_70.jpg
55,5.12,1,Positivo,Positivo,76_orig_75.jpg
56,6.25,1,Positivo,Positivo,78_orig_77.jpg
57,3.5,1,Positivo,Neutral,423_orig_522.jpg
58,5.03,1,Positivo,Positivo,10_orig_9.jpg
59,4.22,2,Negativo,Positivo,205_orig_204.jpg
60,5.78,1,Positivo,Neutral,1054_orig_1290.jpg
