participant,trial_index,filename,original_emotion,reported_emotion,face_aoi_dwell_ms,text_aoi_dwell_ms,face_aoi_fixation_count,text_aoi_fixation_count,face_area_normalized_density,text_area_normalized_density,face_dwell_proportion,text_dwell_proportion,face_fixation_proportion,text_fixation_proportion,face_ttff_ms,text_ttff_ms
U1,1,906_orig_1037.jpg,Negative,Neutral,0.0,325.9295000025304,0,2,,6.266601335843412,0.0,0.040030083096513236,0.0,0.0392156862745098,,0.0
U1,2,1420_orig_1915.jpg,Negative,Neutral,183.96300000313204,1752.1579999956884,2,12,0.22750287160553967,1.1792537855087974,0.021312002524999953,0.20298644683697928,0.034482758620689655,0.20689655172413793,1388.0219999991823,1639.9209999945015
U1,3,790_orig_889.jpg,Neutral,Neutral,0.0,1290.2719999983674,0,7,,12.581746688741722,0.0,0.16044348671100092,0.0,0.125,,2352.145000004384
U1,4,51_orig_50.jpg,Positive,Negative,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,
U1,5,77_orig_76.jpg,Positive,Negative,0.0,3651.96350000042,0,24,,2.5054519353941362,0.0,0.5323828920861714,0.0,0.5454545454545454,,0.0
U1,6,1150_orig_1386.jpg,Negative,Neutral,579.6700000064446,0.0,3,0,2.360041805221552,0.0,0.06777008513212203,0.0,0.05660377358490566,0.0,2486.1115000021528,
U1,7,811_orig_910.jpg,Neutral,Negative,0.0,144.12950000405544,0,1,,0.2500356382243268,0.0,0.01722982475971781,0.0,0.01818181818181818,,6591.96250000241
U1,8,859_orig_958.jpg,Neutral,Neutral,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,,
U1,9,584_orig_683.jpg,Negative,Positive,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,,
U1,10,91_orig_90.jpg,Positive,Positive,321.9764999957988,0.0,2,0,1.1978153425521847,0.0,0.037561539216006724,0.0,0.03571428571428571,0.0,3747.8714999961085,
U1,11,272_orig_271.jpg,Positive,Positive,0.0,215.9105000027921,0,2,,2.15051780943654,0.0,0.030577873162684295,0.0,0.04081632653061224,,1524.0610000037123
U1,12,796_orig_895.jpg,Negative,Negative,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,
U1,13,41_orig_40.jpg,Negative,Negative,0.0,629.162000012002,0,6,,0.8748720019657618,0.0,0.10364533363747154,0.0,0.13953488372093023,,539.393500002916
U1,14,336_orig_435.jpg,Neutral,Negative,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,,
U1,15,361_orig_460.jpg,Negative,Positive,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,,
U1,16,640_orig_739.jpg,Neutral,Positive,0.0,4150.43550003611,0,27,0.0,2.4812234802931634,0.0,0.5445217934145846,0.0,0.5625,,588.0830000023707
U1,17,1123_orig_1359.jpg,Positive,Positive,0.0,1550.5440000124509,0,11,,0.6338472483548168,0.0,0.19124684160343094,0.0,0.19642857142857142,,4723.977500005276
U1,18,1292_orig_1629.jpg,Negative,Neutral,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,
U1,19,722_orig_821.jpg,Neutral,Neutral,0.0,2789.8840000198106,0,16,,1.707113903970013,0.0,0.3476971676033585,0.0,0.32653061224489793,,316.14499999705004
U1,20,1134_orig_1370.jpg,Positive,Negative,0.0,3234.162999986438,0,26,,2.4509492741478733,0.0,0.4132784768092005,0.0,0.4482758620689655,,0.0
U1,21,324_orig_423.jpg,Negative,Neutral,84.06700000341516,0.0,1,0,1.6318307731050112,,0.010217870718008797,0.0,0.01818181818181818,0.0,4036.0010000003967,
U1,22,33_orig_32.jpg,Positive,Positive,0.0,219.4350000063423,0,1,,0.2220564865077492,0.0,0.027740735279683123,0.0,0.02,,7148.399999998219
U1,23,873_orig_972.jpg,Neutral,Negative,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
U1,24,1322_orig_1659.jpg,Negative,Positive,1203.7585000070976,0.0,8,0,4.630813330263064,0.0,0.14209043746076247,0.0,0.14545454545454545,0.0,436.0224999982165,
U1,25,130_orig_129.jpg,Neutral,Positive,0.0,618.0780000067898,0,5,,2.7544774427567447,0.0,0.0692873523666922,0.0,0.09090909090909091,,0.0
U1,26,184_orig_183.jpg,Negative,Neutral,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,,
U1,27,105_orig_104.jpg,Positive,Positive,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,,
U1,28,262_orig_261.jpg,Neutral,Positive,0.0,4657.943999962299,0,33,,1.7842094349540525,0.0,0.57771788027094,0.0,0.5689655172413793,,84.02749999368098
U1,29,198_orig_197.jpg,Negative,Neutral,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,,
U1,30,746_orig_845.jpg,Neutral,Positive,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,
U1,31,82_orig_81.jpg,Positive,Positive,0.0,3547.50950000016,0,25,,5.87130486327672,0.0,0.44680407161780705,0.0,0.44642857142857145,,0.0
U1,32,292_orig_291.jpg,Negative,Neutral,0.0,370.1369999907911,0,2,,8.557653958944282,0.0,0.04227026051558126,0.0,0.04,,322.13050000427756
U1,33,916_orig_1094.jpg,Negative,Positive,0.0,1714.4919999991544,0,13,,2.3013341764516473,0.0,0.2688927862449433,0.0,0.2765957446808511,,0.0
U1,34,251_orig_250.jpg,Negative,Negative,0.0,217.8390000044601,0,1,0.0,5.241700640652301,0.0,0.025140497004198573,0.0,0.0196078431372549,,9460.225000002538
U1,35,573_orig_672.jpg,Neutral,Positive,0.0,3090.703500005475,0,17,,9.305861780582376,0.0,0.44239778267488233,0.0,0.40476190476190477,,251.8244999955641
U1,36,58_orig_57.jpg,Positive,Neutral,0.0,1277.6265000138665,0,7,,4.631102257696383,0.0,0.14253574601653238,0.0,0.12727272727272726,,5123.942499994882
U1,37,760_orig_859.jpg,Negative,Neutral,0.0,840.019499999471,0,6,,1.1781310435105827,0.0,0.10829696659541993,0.0,0.10714285714285714,,4061.9519999963813
U1,38,246_orig_245.jpg,Neutral,Neutral,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,,
U1,39,432_orig_531.jpg,Negative,Neutral,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,,
U1,40,779_orig_878.jpg,Neutral,Negative,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,,
U1,41,5_orig_4.jpg,Positive,Negative,1692.234499991173,0.0,11,0,1.7850343104062587,0.0,0.1962369360203828,0.0,0.22448979591836735,0.0,468.1459999992512,
U1,42,420_orig_519.jpg,Neutral,Positive,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,
U1,43,850_orig_949.jpg,Neutral,Positive,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,
U1,44,1120_orig_1356.jpg,Positive,Positive,0.0,327.95400000031805,0,3,0.0,0.5062028640800753,0.0,0.04687524789837685,0.0,0.06666666666666667,,2852.284000000509
U1,45,264_orig_263.jpg,Negative,Negative,0.0,175.1430000003893,0,1,,0.14835232762054773,0.0,0.02226986200783082,0.0,0.0196078431372549,,2012.8804999985732
U1,46,87_orig_86.jpg,Negative,Positive,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,
U1,47,1155_orig_1391.jpg,Positive,Neutral,0.0,80.04999999684514,0,1,,0.4046902995069051,0.0,0.011293539114671035,0.0,0.023255813953488372,,2459.9605000039446
U1,48,704_orig_803.jpg,Negative,Positive,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,,
U1,49,726_orig_825.jpg,Neutral,Positive,2342.989499993564,2117.8184999953373,14,13,1.6979987871437237,3.017668982059724,0.2722257552850608,0.24606373213345129,0.27450980392156865,0.2549019607843137,3743.8995000047726,287.9860000030021
U1,50,250_orig_249.jpg,Neutral,Positive,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,,
U1,51,153_orig_152.jpg,Positive,Positive,794.0674999917975,0.0,5,0,1.821213767776508,0.0,0.09746760428856224,0.0,0.08771929824561403,0.0,1311.9735000072978,
U1,52,831_orig_930.jpg,Neutral,Negative,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,
U1,53,26_orig_25.jpg,Positive,Negative,641.2029999992228,1243.9270000249962,5,7,1.5447287983853453,1.2028692781281627,0.07096354137816754,0.13766851549010317,0.09090909090909091,0.12727272727272726,5532.078000003821,3108.060500002466
U1,54,71_orig_70.jpg,Positive,Positive,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,
U1,55,76_orig_75.jpg,Positive,Positive,0.0,0.0,0,0,,,0.0,0.0,0.0,0.0,,
U1,56,78_orig_77.jpg,Positive,Negative,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,,
U1,57,423_orig_522.jpg,Neutral,Positive,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,,
