trial_index,filename,original_emotion,n_fixations_for_auc_nss,CC,SIM,KL_empirical_to_prediction,AUC_Judd,NSS,prediction_path,empirical_heatmap_path
1,906_orig_1037.jpg,Negativo,1286,0.5939383289495015,0.6204617722329426,0.5704039061739844,0.8647778162954537,1.0252113245239947,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\01_906_orig_1037_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\906_orig_1037.npy
2,1420_orig_1915.jpg,Negativo,1326,0.4892310879458132,0.48212302094528214,0.9404598032045444,0.6034030781170627,-0.056382916040591084,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\02_1420_orig_1915_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\1420_orig_1915.npy
3,790_orig_889.jpg,Neutral,1417,0.4793704526078285,0.5542881042342842,0.6404285264155593,0.8112365170473969,0.9959661407217947,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\03_790_orig_889_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\790_orig_889.npy
4,51_orig_50.jpg,Positivo,1171,0.5331734974919492,0.578625852170924,0.639180696625423,0.8160559537833553,1.162807147096727,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\04_51_orig_50_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\51_orig_50.npy
5,77_orig_76.jpg,Positivo,1475,0.3261038014760766,0.5045857623380876,0.7870181759662336,0.7622886552601165,0.6381027434182585,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\05_77_orig_76_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\77_orig_76.npy
6,1150_orig_1386.jpg,Negativo,1221,0.4195520746880792,0.4866848120653086,0.9901333304458795,0.8327533169381653,1.0372822959721815,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\06_1150_orig_1386_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\1150_orig_1386.npy
7,811_orig_910.jpg,Neutral,1302,0.3893351177264503,0.48354879115545923,0.8773799500092478,0.7054023470774206,0.5058283411671627,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\07_811_orig_910_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\811_orig_910.npy
8,859_orig_958.jpg,Neutral,1214,0.5213970389600625,0.5487030756894014,0.6578419090968598,0.7579437063895533,0.5668784493776419,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\08_859_orig_958_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\859_orig_958.npy
9,584_orig_683.jpg,Negativo,1384,0.6694469656168393,0.670591760179635,0.4403166904983901,0.7010225677712955,0.5534855631853454,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\09_584_orig_683_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\584_orig_683.npy
10,91_orig_90.jpg,Positivo,1315,0.4815681946797108,0.5232356176321947,0.7457735569998678,0.7452931659219324,0.41645534236487347,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\10_91_orig_90_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\91_orig_90.npy
