participant,filename,response_value,response_emotion_raw,response_emotion,is_no_response,trial_index
U3,906_orig_1037.jpg,,NO RESPONDE,,True,1
U4,640_orig_739.jpg,,NO RESPONDE,,True,16
U4,1134_orig_1370.jpg,,NO RESPONDE,,True,20
U7,51_orig_50.jpg,,NO RESPONDE,,True,4
U7,130_orig_129.jpg,,NO RESPONDE,,True,25
U7,916_orig_1094.jpg,,NO RESPONDE,,True,33
U7,246_orig_245.jpg,,NO RESPONDE,,True,38
U7,1155_orig_1391.jpg,,NO RESPONDE,,True,47
U7,153_orig_152.jpg,,NO RESPONDE,,True,51
U7,78_orig_77.jpg,,NO RESPONDE,,True,56
U7,423_orig_522.jpg,,NO RESPONDE,,True,57
U8,859_orig_958.jpg,,NO RESPONDE,,True,8
U8,272_orig_271.jpg,,NO RESPONDE,,True,11
U8,33_orig_32.jpg,,NO RESPONDE,,True,22
U8,105_orig_104.jpg,,NO RESPONDE,,True,27
U8,251_orig_250.jpg,,NO RESPONDE,,True,34
U8,760_orig_859.jpg,,NO RESPONDE,,True,37
U8,432_orig_531.jpg,,NO RESPONDE,,True,39
U8,1120_orig_1356.jpg,,NO RESPONDE,,True,44
U8,264_orig_263.jpg,,NO RESPONDE,,True,45
U8,726_orig_825.jpg,,NO RESPONDE,,True,49
U10,906_orig_1037.jpg,,NO RESPONDE,,True,1
U10,1420_orig_1915.jpg,,NO RESPONDE,,True,2
U10,51_orig_50.jpg,,NO RESPONDE,,True,4
U10,1150_orig_1386.jpg,,NO RESPONDE,,True,6
U10,811_orig_910.jpg,,NO RESPONDE,,True,7
U10,859_orig_958.jpg,,NO RESPONDE,,True,8
U10,91_orig_90.jpg,,NO RESPONDE,,True,10
U10,272_orig_271.jpg,,NO RESPONDE,,True,11
U10,796_orig_895.jpg,,NO RESPONDE,,True,12
U10,41_orig_40.jpg,,NO RESPONDE,,True,13
U10,336_orig_435.jpg,,NO RESPONDE,,True,14
U10,640_orig_739.jpg,,NO RESPONDE,,True,16
U10,1123_orig_1359.jpg,,NO RESPONDE,,True,17
U10,1292_orig_1629.jpg,,NO RESPONDE,,True,18
U10,722_orig_821.jpg,,NO RESPONDE,,True,19
U10,1134_orig_1370.jpg,,NO RESPONDE,,True,20
U10,324_orig_423.jpg,,NO RESPONDE,,True,21
U10,873_orig_972.jpg,,NO RESPONDE,,True,23
U10,1322_orig_1659.jpg,,NO RESPONDE,,True,24
U10,130_orig_129.jpg,,NO RESPONDE,,True,25
U10,184_orig_183.jpg,,NO RESPONDE,,True,26
U10,105_orig_104.jpg,,NO RESPONDE,,True,27
U10,262_orig_261.jpg,,NO RESPONDE,,True,28
U10,198_orig_197.jpg,,NO RESPONDE,,True,29
U10,82_orig_81.jpg,,NO RESPONDE,,True,31
U10,292_orig_291.jpg,,NO RESPONDE,,True,32
U10,916_orig_1094.jpg,,NO RESPONDE,,True,33
U10,251_orig_250.jpg,,NO RESPONDE,,True,34
U10,58_orig_57.jpg,,NO RESPONDE,,True,36
