trial_index,filename,original_emotion,perceived_emotion_majority,perceived_emotion_total_responses,perceived_prop_Positive,perceived_count_Positive,perceived_prop_Neutral,perceived_count_Neutral,perceived_prop_Negative,perceived_count_Negative,viewing_mean_fixation_count,viewing_mean_dwell_time_s,viewing_mean_mean_fixation_duration_ms,viewing_mean_fixation_density_per_megapixel,aoi_mean_face_area_normalized_density,aoi_mean_text_area_normalized_density,aoi_mean_face_dwell_proportion,aoi_mean_text_dwell_proportion,aoi_mean_face_fixation_proportion,aoi_mean_text_fixation_proportion,aoi_mean_face_ttff_ms,aoi_mean_text_ttff_ms,CC,SIM,KL_empirical_to_prediction,AUC_Judd,NSS,n_fixations_for_auc_nss,efficientnet_true_label,efficientnet_predicted_label,efficientnet_predicted_probability,intended_matches_perceived_majority,intended_matches_efficientnet,deepgaze_nss_agreement_level,deepgaze_auc_agreement_level,semantic_attention_emphasis
1,906_orig_1037.jpg,Negative,Neutral,29,0.4827586206896552,14,0.5172413793103449,15,0.0,0,44.3448275862069,7.655405275844459,172.82892185683912,30.41483373539568,,0.8305406470494908,0.0,0.004278849326428303,0.0,0.005197429947654011,,6335.38558332657,0.5939383289495015,0.6204617722329426,0.5704039061739844,0.8647778162954537,1.0252113245239949,1286,Negative,Neutral,0.3908189237117767,False,False,moderate,strong,text_more_than_face
2,1420_orig_1915.jpg,Negative,Positive,30,0.5666666666666667,17,0.43333333333333335,13,0.0,0,44.2,7.405402716667686,168.83642215659648,60.05434782608696,0.8497243402765181,0.7550948474977629,0.11887356045488996,0.128746431607281,0.12879327242375985,0.1324791339164927,2824.652851852702,2155.140980003225,0.4892310879458132,0.4821230209452821,0.9404598032045444,0.6034030781170627,-0.056382916040591,1326,Negative,Positive,0.4225303828716278,False,False,poor_or_inverse,moderate,text_more_than_face
3,790_orig_889.jpg,Neutral,Neutral,32,0.375,12,0.625,20,0.0,0,44.28125,7.298470140688789,165.04220119393182,30.348747155741975,,12.990624701433264,0.0,0.13139867851513498,0.0,0.12906221432133713,,1515.2489074021946,0.4793704526078285,0.5542881042342842,0.6404285264155593,0.8112365170473969,0.9959661407217948,1417,Neutral,Neutral,0.3907805979251861,True,True,weak,strong,text_more_than_face
4,51_orig_50.jpg,Positive,Positive,26,0.5,13,0.3076923076923077,8,0.19230769230769232,5,45.03846153846154,7.531842884611408,167.83659279180213,30.890577186873482,,,0.0,0.0,0.0,0.0,,,0.5331734974919492,0.578625852170924,0.639180696625423,0.8160559537833553,1.162807147096727,1171,Positive,Neutral,0.3669434785842895,True,False,moderate,strong,equal_face_text
5,77_orig_76.jpg,Positive,Positive,32,0.71875,23,0.15625,5,0.125,4,46.09375,7.4389244687477145,161.79695350641302,31.59096828138279,,2.6388492462307553,0.0,0.5782106856796572,0.0,0.5744960802448748,,140.49509374444824,0.3261038014760766,0.5045857623380876,0.7870181759662336,0.7622886552601165,0.6381027434182585,1475,Positive,Negative,0.3870366811752319,True,False,weak,strong,text_more_than_face
6,1150_orig_1386.jpg,Negative,Neutral,28,0.2857142857142857,8,0.5714285714285714,16,0.14285714285714285,4,43.607142857142854,7.383158892913721,169.17305823331435,29.908877131099352,3.0197503985607796,2.511487046487871,0.0723713984542513,0.017574428015230906,0.07242637289936342,0.01720489205783323,2947.4468333335913,2190.583714286991,0.4195520746880792,0.4866848120653086,0.9901333304458796,0.8327533169381653,1.0372822959721817,1221,Negative,Positive,0.4142854809761047,False,False,moderate,strong,face_more_than_text
7,811_orig_910.jpg,Neutral,Neutral,28,0.32142857142857145,9,0.4642857142857143,13,0.21428571428571427,6,46.5,7.435855535713164,160.18982020332845,39.86625514403291,,0.4602054212834163,0.0,0.03552588872892877,0.0,0.03346471469221151,,3056.1012000053474,0.3893351177264503,0.4835487911554592,0.8773799500092478,0.7054023470774206,0.5058283411671627,1302,Neutral,Negative,0.3704147636890411,True,False,weak,strong,text_more_than_face
8,859_orig_958.jpg,Neutral,Neutral,27,0.37037037037037035,10,0.5185185185185185,14,0.1111111111111111,3,44.96296296296296,7.38352531481891,163.99883599110106,30.83879489915155,,1.9435215946843851,0.0,0.0018805058606541332,0.0,0.0016329313809933927,,4631.299000000581,0.5213970389600625,0.5487030756894014,0.6578419090968598,0.7579437063895533,0.5668784493776419,1214,Neutral,Neutral,0.3630535006523132,True,True,weak,strong,text_more_than_face
9,584_orig_683.jpg,Negative,Positive,31,0.6774193548387096,21,0.25806451612903225,8,0.06451612903225806,2,44.645161290322584,7.109204354809926,159.3604852258685,96.88620071684588,,0.0,0.0,0.0,0.0,0.0,,,0.6694469656168393,0.670591760179635,0.4403166904983901,0.7010225677712955,0.5534855631853454,1384,Negative,Positive,0.3585129976272583,False,False,weak,strong,equal_face_text
10,91_orig_90.jpg,Positive,Neutral,30,0.3333333333333333,10,0.5666666666666667,17,0.1,3,43.833333333333336,7.288107566608089,166.55249687478894,30.064014631915867,1.1175184177211532,0.0,0.0320753475705728,0.0,0.033320137623576086,0.0,3662.4267222226385,,0.4815681946797108,0.5232356176321947,0.7457735569998678,0.7452931659219324,0.4164553423648734,1315,Positive,Negative,0.4313143193721771,False,False,weak,strong,face_more_than_text
11,272_orig_271.jpg,Positive,Neutral,28,0.2857142857142857,8,0.6428571428571429,18,0.07142857142857142,2,45.82142857142857,7.209597964329349,157.32415986579562,39.284489515970996,,0.07680420747987642,0.0,0.001092066898667293,0.0,0.0014577259475218643,,1524.0610000037125,0.2629990219102098,0.4462031068247443,0.9763656481038095,0.6268369689045891,0.0425949454925882,1283,Positive,Negative,0.393568605184555,False,False,weak,moderate,text_more_than_face
12,796_orig_895.jpg,Negative,Positive,27,0.6296296296296297,17,0.2222222222222222,6,0.14814814814814814,4,45.148148148148145,7.45233074069357,165.3456961283256,58.06089010821521,,,0.0,0.0,0.0,0.0,,,0.6924309878191949,0.6528319807311086,0.4047583278628439,0.805308412267787,1.0213263184384285,1219,Negative,Neutral,0.3628118932247162,False,False,moderate,strong,equal_face_text
