"metric","grouping_variable","category","observations","mean","standard_deviation","median","minimum","maximum"
"fixation_count","original_emotion","Neutral",569,45.4727592267135,6.4299896731805,47,21,59
"fixation_count","original_emotion","Negative",572,44.9632867132867,6.49777397165008,46,21,60
"fixation_count","original_emotion","Positive",567,46.0246913580247,6.20720747159176,47,21,62
"fixation_count","response_emotion","Neutral",686,44.1909620991254,6.85426863268959,45,21,60
"fixation_count","response_emotion","Negative",237,47.7172995780591,5.21246024726944,48,23,59
"fixation_count","response_emotion","Positive",785,45.9426751592357,6.04325610619037,47,21,62
"dwell_time_s","original_emotion","Neutral",569,7.42549297891593,1.1338093489147,7.67567750008311,3.06692350000026,9.31886800052598
"dwell_time_s","original_emotion","Negative",572,7.37472660402609,1.16330286286779,7.62301325031876,2.85492900005192,9.31765050033573
"dwell_time_s","original_emotion","Positive",567,7.4387833244995,1.0924493049316,7.69037200009916,2.47526949999974,9.21759499996551
"dwell_time_s","response_emotion","Neutral",686,7.21488107070616,1.24974461326914,7.51450450003904,2.47526949999974,9.27517750006518
"dwell_time_s","response_emotion","Negative",237,7.63158690713216,0.905606682372724,7.80648049979936,3.35443599984865,9.1875529999088
"dwell_time_s","response_emotion","Positive",785,7.51992962548097,1.05283887650398,7.75359399999934,2.85492900005192,9.31886800052598
"mean_fixation_duration_ms","original_emotion","Neutral",569,163.560709632241,14.9888720981413,163.079312502045,125.869169642621,211.392371804836
"mean_fixation_duration_ms","original_emotion","Negative",572,164.356616125897,16.6021527681054,163.584242826807,116.821921875005,209.411146349228
"mean_fixation_duration_ms","original_emotion","Positive",567,161.904008742286,15.7020473413023,161.050304363016,103.136229166656,214.241081385787
"mean_fixation_duration_ms","response_emotion","Neutral",686,163.316248269668,15.7168971385264,162.957909202505,103.136229166656,205.682658540687
"mean_fixation_duration_ms","response_emotion","Negative",237,160.449016611722,15.6486778772443,160.916940474895,123.301717391334,203.475544445003
"mean_fixation_duration_ms","response_emotion","Positive",785,164.097118358809,15.8477061119757,162.721460002358,116.203339999993,214.241081385787
"fixation_density_per_megapixel","original_emotion","Neutral",569,50.8457777803143,46.2049383154283,34.2935528120713,14.3926309729419,237.648530331457
"fixation_density_per_megapixel","original_emotion","Negative",572,45.902269687565,28.3585319378313,34.2935528120713,15.7750342935528,158.182888712479
"fixation_density_per_megapixel","original_emotion","Positive",567,88.7517497232503,163.428021459884,38.5802469135802,16.4609053497942,920.109143981217
"fixation_density_per_megapixel","response_emotion","Neutral",686,46.2519266452141,47.9407168086342,34.2935528120713,14.3926309729419,761.469636398249
"fixation_density_per_megapixel","response_emotion","Negative",237,109.617452399518,185.293131677452,40.2949245541838,15.7750342935528,920.109143981217
"fixation_density_per_megapixel","response_emotion","Positive",785,60.8935414191927,94.6814215801303,34.9794238683128,16.4609053497942,920.109143981217
