"metric","model","formula","distribution","random_effect_structure","fallback_used","n_observations","n_participants","n_images","log_likelihood","aic","bic","positive_definite_hessian","singular_fit"
"fixation_count","Null","fixation_count ~ 1 + (1 | participant) + (1 | filename)","Poisson (automatic fallback from negative binomial; negative-binomial fit reached the Poisson boundary)","(1 | participant) + (1 | filename)",TRUE,1708,36,60,-5263.0901579753,10532.1803159506,10548.5095510736,TRUE,NA
"fixation_count","Original emotion","fixation_count ~ original_emotion + (1 | participant) + (1 |     filename)","Poisson (automatic fallback from negative binomial; negative-binomial fit reached the Poisson boundary)","(1 | participant) + (1 | filename)",TRUE,1708,36,60,-5260.19425930766,10530.3885186153,10557.6039104871,TRUE,NA
"fixation_count","Reported emotion","fixation_count ~ response_emotion + (1 | participant) + (1 |     filename)","Poisson (automatic fallback from negative binomial; negative-binomial fit reached the Poisson boundary)","(1 | participant) + (1 | filename)",TRUE,1708,36,60,-5261.93804280314,10533.8760856063,10561.091477478,TRUE,NA
"fixation_count","Combined","fixation_count ~ original_emotion + response_emotion + (1 | participant) +     (1 | filename)","Poisson (automatic fallback from negative binomial; negative-binomial fit reached the Poisson boundary)","(1 | participant) + (1 | filename)",TRUE,1708,36,60,-5259.35385957625,10532.7077191525,10570.8092677729,TRUE,NA
"dwell_time_s","Null","dwell_time_s_scaled ~ 1 + (1 | participant) + (1 | filename)","Gamma","(1 | participant) + (1 | filename)",FALSE,1708,36,60,1364.32186093017,-2720.64372186034,-2698.87140836294,TRUE,NA
"dwell_time_s","Original emotion","dwell_time_s_scaled ~ original_emotion + (1 | participant) +     (1 | filename)","Gamma","(1 | participant) + (1 | filename)",FALSE,1708,36,60,1365.13967532103,-2718.27935064205,-2685.62088039596,TRUE,NA
"dwell_time_s","Reported emotion","dwell_time_s_scaled ~ response_emotion + (1 | participant) +     (1 | filename)","Gamma","(1 | participant) + (1 | filename)",FALSE,1708,36,60,1365.62273067813,-2719.24546135626,-2686.58699111017,TRUE,NA
"dwell_time_s","Combined","dwell_time_s_scaled ~ original_emotion + response_emotion + (1 |     participant) + (1 | filename)","Gamma","(1 | participant) + (1 | filename)",FALSE,1708,36,60,1366.32296422677,-2716.64592845354,-2673.10130145875,TRUE,NA
"mean_fixation_duration_ms","Null","mean_fixation_duration_ms_scaled ~ 1 + (1 | participant) + (1 |     filename)","Gamma","(1 | participant) + (1 | filename)",FALSE,1708,36,60,2205.94995297034,-4403.89990594068,-4382.12759244329,TRUE,NA
"mean_fixation_duration_ms","Original emotion","mean_fixation_duration_ms_scaled ~ original_emotion + (1 | participant) +     (1 | filename)","Gamma","(1 | participant) + (1 | filename)",FALSE,1708,36,60,2207.70675610522,-4403.41351221045,-4370.75504196436,TRUE,NA
"mean_fixation_duration_ms","Reported emotion","mean_fixation_duration_ms_scaled ~ response_emotion + (1 | participant) +     (1 | filename)","Gamma","(1 | participant) + (1 | filename)",FALSE,1708,36,60,2207.27131565405,-4402.54263130809,-4369.884161062,TRUE,NA
"mean_fixation_duration_ms","Combined","mean_fixation_duration_ms_scaled ~ original_emotion + response_emotion +     (1 | participant) + (1 | filename)","Gamma","(1 | participant) + (1 | filename)",FALSE,1708,36,60,2209.02099355129,-4402.04198710258,-4358.49736010779,TRUE,NA
"fixation_density_per_megapixel","Null","fixation_density_per_megapixel_scaled ~ 1 + (1 | participant) +     (1 | filename)","Gamma","(1 | participant) + (1 | filename)",FALSE,1708,36,60,846.723361562608,-1685.44672312522,-1663.67440962782,TRUE,NA
"fixation_density_per_megapixel","Original emotion","fixation_density_per_megapixel_scaled ~ original_emotion + (1 |     participant) + (1 | filename)","Gamma","(1 | participant) + (1 | filename)",FALSE,1708,36,60,847.606360950094,-1683.21272190019,-1650.5542516541,TRUE,NA
"fixation_density_per_megapixel","Reported emotion","fixation_density_per_megapixel_scaled ~ response_emotion + (1 |     participant) + (1 | filename)","Gamma","(1 | participant) + (1 | filename)",FALSE,1708,36,60,847.414583035494,-1682.82916607099,-1650.1706958249,TRUE,NA
"fixation_density_per_megapixel","Combined","fixation_density_per_megapixel_scaled ~ original_emotion + response_emotion +     (1 | participant) + (1 | filename)","Gamma","(1 | participant) + (1 | filename)",FALSE,1708,36,60,848.294957154047,-1680.58991430809,-1637.04528731331,TRUE,NA
