"metric","model","predictor","comparison","ratio","standard_error","df","z_or_t_ratio","p_value_bonferroni","approximate_percent_difference","significant_bonferroni_0_05"
"fixation_count","Original emotion","original_emotion","Neutral / Negative",1.00982783480683,0.00889693723090382,Inf,1.11004161163597,0.800943287299239,0.982783480682659,FALSE
"fixation_count","Original emotion","original_emotion","Neutral / Positive",0.988688815057416,0.0086869200474778,Inf,-1.29470178816252,0.586269368594573,-1.13111849425839,FALSE
"fixation_count","Original emotion","original_emotion","Negative / Positive",0.979066709174783,0.00861487742435838,Inf,-2.4042877721434,0.0486120357050906,-2.09332908252169,TRUE
"fixation_count","Reported emotion","response_emotion","Neutral / Negative",0.981398847123389,0.0121520738024332,Inf,-1.51637234659245,0.388275682265986,-1.86011528766107,FALSE
"fixation_count","Reported emotion","response_emotion","Neutral / Positive",0.994564642840843,0.00872947438211505,Inf,-0.620949043699367,1,-0.543535715915733,FALSE
"fixation_count","Reported emotion","response_emotion","Negative / Positive",1.01341533644149,0.0114971634798774,Inf,1.17463080113954,0.720427364947874,1.34153364414928,FALSE
"fixation_count","Combined","original_emotion","Neutral / Negative",1.00948086019866,0.00890141633176499,Inf,1.07012882380614,0.853683979660074,0.948086019866023,FALSE
"fixation_count","Combined","original_emotion","Neutral / Positive",0.989403756448151,0.00871082514128109,Inf,-1.209977682159,0.678862370437319,-1.05962435518493,FALSE
"fixation_count","Combined","original_emotion","Negative / Positive",0.980111456747621,0.00866591176177073,Inf,-2.27205657697015,0.0692492800801045,-1.98885432523787,FALSE
"fixation_count","Combined","response_emotion","Neutral / Negative",0.984083977037914,0.0122442026407252,Inf,-1.28948255421641,0.591691132704329,-1.59160229620864,FALSE
"fixation_count","Combined","response_emotion","Neutral / Positive",0.995808787131611,0.00875759157780292,Inf,-0.477576215120226,1,-0.419121286838886,FALSE
"fixation_count","Combined","response_emotion","Negative / Positive",1.01191444060393,0.0115016725133419,Inf,1.04203430599078,0.892187322068937,1.19144406039302,FALSE
"dwell_time_s","Original emotion","original_emotion","Neutral / Negative",1.00784576821474,0.00698276181223472,Inf,1.12798721878402,0.777975950967574,0.784576821474481,FALSE
"dwell_time_s","Original emotion","original_emotion","Neutral / Positive",1.00017035517653,0.00694911571528348,Inf,0.0245167432987119,1,0.0170355176525527,FALSE
"dwell_time_s","Original emotion","original_emotion","Negative / Positive",0.992384337683121,0.00688934235566591,Inf,-1.10120659874683,0.812420251265145,-0.761566231687938,FALSE
"dwell_time_s","Reported emotion","response_emotion","Neutral / Negative",0.992151999727577,0.00924067142964532,Inf,-0.845947602293857,1,-0.784800027242261,FALSE
"dwell_time_s","Reported emotion","response_emotion","Neutral / Positive",0.989605425360349,0.00643358434064586,Inf,-1.6072475836387,0.324000202785102,-1.03945746396505,FALSE
"dwell_time_s","Reported emotion","response_emotion","Negative / Positive",0.99743328202944,0.00858013050745886,Inf,-0.298762486871863,1,-0.256671797056007,FALSE
