participant,trial_index,filename,aoi_type,aoi_present,aoi_count,aoi_union_area_px,aoi_union_area_prop,total_trial_fixations,total_trial_dwell_ms,aoi_fixation_count,aoi_dwell_ms,fixation_proportion,dwell_proportion,ttff_ms,area_normalized_density,original_emotion,reported_emotion
U1,1,906_orig_1037.jpg,face,0,0,0.0,0.0,51,8142.1140000311425,0,0.0,0.0,0.0,,,Negative,Neutral
U1,1,906_orig_1037.jpg,text,1,2,9124.0,0.006257887517146776,51,8142.1140000311425,2,325.9295000025304,0.0392156862745098,0.040030083096513236,0.0,6.266601335843412,Negative,Neutral
U1,2,1420_orig_1915.jpg,face,1,1,111556.0,0.15157065217391305,58,8631.89649998094,2,183.96300000313204,0.034482758620689655,0.021312002524999953,1388.0219999991823,0.22750287160553967,Negative,Neutral
U1,2,1420_orig_1915.jpg,text,1,17,129129.0,0.1754470108695652,58,8631.89649998094,12,1752.1579999956884,0.20689655172413793,0.20298644683697928,1639.9209999945015,1.1792537855087974,Negative,Neutral
U1,3,790_orig_889.jpg,face,0,0,0.0,0.0,56,8041.909500025213,0,0.0,0.0,0.0,,,Neutral,Neutral
U1,3,790_orig_889.jpg,text,1,1,14496.0,0.009935027551607863,56,8041.909500025213,7,1290.2719999983674,0.125,0.16044348671100092,2352.145000004384,12.581746688741722,Neutral,Neutral
U1,4,51_orig_50.jpg,face,0,0,0.0,,51,7744.249500072328,0,0.0,0.0,0.0,,,Positive,Negative
U1,4,51_orig_50.jpg,text,0,0,0.0,,51,7744.249500072328,0,0.0,0.0,0.0,,,Positive,Negative
U1,5,77_orig_76.jpg,face,0,0,0.0,0.0,44,6859.656000007817,0,0.0,0.0,0.0,,,Positive,Negative
U1,5,77_orig_76.jpg,text,1,17,317652.0,0.21770704827699647,44,6859.656000007817,24,3651.96350000042,0.5454545454545454,0.5323828920861714,0.0,2.5054519353941362,Positive,Negative
U1,6,1150_orig_1386.jpg,face,1,1,34969.0,0.023984224965706447,53,8553.479000009247,3,579.6700000064446,0.05660377358490566,0.06777008513212203,2486.1115000021528,2.360041805221552,Negative,Neutral
U1,6,1150_orig_1386.jpg,text,1,2,9988.0,0.006850480109739369,53,8553.479000009247,0,0.0,0.0,0.0,,0.0,Negative,Neutral
U1,7,811_orig_910.jpg,face,0,0,0.0,0.0,55,8365.116999972088,0,0.0,0.0,0.0,,,Neutral,Negative
U1,7,811_orig_910.jpg,text,1,1,84817.0,0.07271690672153636,55,8365.116999972088,1,144.12950000405544,0.01818181818181818,0.01722982475971781,6591.96250000241,0.2500356382243268,Neutral,Negative
U1,8,859_orig_958.jpg,face,0,0,0.0,0.0,52,8137.886500000604,0,0.0,0.0,0.0,,,Neutral,Neutral
U1,8,859_orig_958.jpg,text,1,1,1225.0,0.0008401920438957476,52,8137.886500000604,0,0.0,0.0,0.0,,0.0,Neutral,Neutral
U1,9,584_orig_683.jpg,face,0,0,0.0,0.0,49,7999.726500027464,0,0.0,0.0,0.0,,,Negative,Positive
U1,9,584_orig_683.jpg,text,1,1,2808.0,0.00609375,49,7999.726500027464,0,0.0,0.0,0.0,,0.0,Negative,Positive
U1,10,91_orig_90.jpg,face,1,1,43472.0,0.029816186556927297,56,8571.972999940044,2,321.9764999957988,0.03571428571428571,0.037561539216006724,3747.8714999961085,1.1978153425521847,Positive,Positive
U1,10,91_orig_90.jpg,text,1,1,8784.0,0.006024691358024691,56,8571.972999940044,0,0.0,0.0,0.0,,0.0,Positive,Positive
U1,11,272_orig_271.jpg,face,0,0,0.0,0.0,49,7061.004500021227,0,0.0,0.0,0.0,,,Positive,Positive
U1,11,272_orig_271.jpg,text,1,2,22138.0,0.018979766803840878,49,7061.004500021227,2,215.9105000027921,0.04081632653061224,0.030577873162684295,1524.0610000037123,2.15051780943654,Positive,Positive
U1,12,796_orig_895.jpg,face,0,0,0.0,,54,7687.40699999762,0,0.0,0.0,0.0,,,Negative,Negative
U1,12,796_orig_895.jpg,text,0,0,0.0,,54,7687.40699999762,0,0.0,0.0,0.0,,,Negative,Negative
U1,13,41_orig_40.jpg,face,0,0,0.0,0.0,43,6070.336000004318,0,0.0,0.0,0.0,,,Negative,Negative
U1,13,41_orig_40.jpg,text,1,31,232539.0,0.1594917695473251,43,6070.336000004318,6,629.162000012002,0.13953488372093023,0.10364533363747154,539.393500002916,0.8748720019657618,Negative,Negative
U1,14,336_orig_435.jpg,face,0,0,0.0,0.0,52,8249.60799994733,0,0.0,0.0,0.0,,,Neutral,Negative
U1,14,336_orig_435.jpg,text,1,1,3760.0,0.002578875171467764,52,8249.60799994733,0,0.0,0.0,0.0,,0.0,Neutral,Negative
U1,15,361_orig_460.jpg,face,0,0,0.0,0.0,53,8338.533499947516,0,0.0,0.0,0.0,,,Negative,Positive
U1,15,361_orig_460.jpg,text,1,3,20165.0,0.01728823731138546,53,8338.533499947516,0,0.0,0.0,0.0,,0.0,Negative,Positive
U1,16,640_orig_739.jpg,face,1,1,54990.0,0.04714506172839506,48,7622.166000022844,0,0.0,0.0,0.0,,0.0,Neutral,Positive
U1,16,640_orig_739.jpg,text,1,3,264426.0,0.22670267489711934,48,7622.166000022844,27,4150.43550003611,0.5625,0.5445217934145846,588.0830000023707,2.4812234802931634,Neutral,Positive
U1,17,1123_orig_1359.jpg,face,0,0,0.0,0.0,56,8107.553500034555,0,0.0,0.0,0.0,,,Positive,Positive
U1,17,1123_orig_1359.jpg,text,1,8,167871.0,0.30989891008979203,56,8107.553500034555,11,1550.5440000124509,0.19642857142857142,0.19124684160343094,4723.977500005276,0.6338472483548168,Positive,Positive
U1,18,1292_orig_1629.jpg,face,0,0,0.0,,56,8600.843500054907,0,0.0,0.0,0.0,,,Negative,Neutral
U1,18,1292_orig_1629.jpg,text,0,0,0.0,,56,8600.843500054907,0,0.0,0.0,0.0,,,Negative,Neutral
U1,19,722_orig_821.jpg,face,0,0,0.0,0.0,49,8023.890500029665,0,0.0,0.0,0.0,,,Neutral,Neutral
U1,19,722_orig_821.jpg,text,1,17,278881.0,0.1912764060356653,49,8023.890500029665,16,2789.8840000198106,0.32653061224489793,0.3476971676033585,316.14499999705004,1.707113903970013,Neutral,Neutral
U1,20,1134_orig_1370.jpg,face,0,0,0.0,0.0,58,7825.626499972714,0,0.0,0.0,0.0,,,Positive,Negative
U1,20,1134_orig_1370.jpg,text,1,5,127978.0,0.1828988738352484,58,7825.626499972714,26,3234.162999986438,0.4482758620689655,0.4132784768092005,0.0,2.4509492741478733,Positive,Negative
U1,21,324_orig_423.jpg,face,1,1,12996.0,0.011141975308641975,55,8227.448000026925,1,84.06700000341516,0.01818181818181818,0.010217870718008797,4036.0010000003967,1.6318307731050112,Negative,Neutral
U1,21,324_orig_423.jpg,text,0,0,0.0,0.0,55,8227.448000026925,0,0.0,0.0,0.0,,,Negative,Neutral
U1,22,33_orig_32.jpg,face,0,0,0.0,0.0,50,7910.208500026783,0,0.0,0.0,0.0,,,Positive,Positive
U1,22,33_orig_32.jpg,text,1,4,38133.0,0.09006717306275154,50,7910.208500026783,1,219.4350000063423,0.02,0.027740735279683123,7148.399999998219,0.2220564865077492,Positive,Positive
U1,23,873_orig_972.jpg,face,1,1,6084.0,0.006057347670250896,55,8255.407000004197,0,0.0,0.0,0.0,,0.0,Neutral,Negative
U1,23,873_orig_972.jpg,text,1,7,15221.0,0.015154320987654322,55,8255.407000004197,0,0.0,0.0,0.0,,0.0,Neutral,Negative
U1,24,1322_orig_1659.jpg,face,1,1,45796.0,0.03141015089163237,55,8471.77700004977,8,1203.7585000070976,0.14545454545454545,0.14209043746076247,436.0224999982165,4.630813330263064,Negative,Positive
U1,24,1322_orig_1659.jpg,text,1,7,40256.0,0.02761042524005487,55,8471.77700004977,0,0.0,0.0,0.0,,0.0,Negative,Positive
U1,25,130_orig_129.jpg,face,0,0,0.0,0.0,55,8920.50250001921,0,0.0,0.0,0.0,,,Neutral,Positive
U1,25,130_orig_129.jpg,text,1,7,38496.0,0.03300411522633745,55,8920.50250001921,5,618.0780000067898,0.09090909090909091,0.0692873523666922,0.0,2.7544774427567447,Neutral,Positive
U1,26,184_orig_183.jpg,face,0,0,0.0,0.0,48,6919.33949997474,0,0.0,0.0,0.0,,,Negative,Neutral
U1,26,184_orig_183.jpg,text,1,2,19555.0,0.016765260631001373,48,6919.33949997474,0,0.0,0.0,0.0,,0.0,Negative,Neutral
U1,27,105_orig_104.jpg,face,0,0,0.0,0.0,61,8299.428999998781,0,0.0,0.0,0.0,,,Positive,Positive
U1,27,105_orig_104.jpg,text,1,2,22460.0,0.015404663923182441,61,8299.428999998781,0,0.0,0.0,0.0,,0.0,Positive,Positive
