trial_index,filename,original_emotion,n_fixations_for_auc_nss,CC,SIM,KL_empirical_to_prediction,AUC_Judd,NSS,prediction_path,empirical_heatmap_path
1,906_orig_1037.jpg,Negativo,1661,0.6121342026115937,0.6283958228664585,0.5230342227192708,0.8641874174020698,1.0629343412805943,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\01_906_orig_1037_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\906_orig_1037.npy
2,1420_orig_1915.jpg,Negativo,1637,0.5028025670896548,0.4902043120080265,0.9169326911715832,0.6177867330793816,0.0019787413189740694,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\02_1420_orig_1915_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\1420_orig_1915.npy
3,790_orig_889.jpg,Neutral,1634,0.5124805276727299,0.5688552128685531,0.597432092906788,0.8125566266070312,0.9921295710920329,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\03_790_orig_889_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\790_orig_889.npy
4,51_orig_50.jpg,Positivo,1587,0.5380258250378356,0.593926036730444,0.5915928543155199,0.8135092697873867,1.1066424585091525,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\04_51_orig_50_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\51_orig_50.npy
5,77_orig_76.jpg,Positivo,1604,0.33333999636241185,0.5091997898937726,0.7655760352204399,0.7648714854103082,0.6430893840508513,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\05_77_orig_76_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\77_orig_76.npy
6,1150_orig_1386.jpg,Negativo,1570,0.4221122503508624,0.482220261965886,0.9405793802873673,0.8399189862833364,1.098708978615406,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\06_1150_orig_1386_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\1150_orig_1386.npy
7,811_orig_910.jpg,Neutral,1637,0.38001503506783174,0.4781711938692528,0.8854943869304799,0.7082006583223805,0.5289597548858942,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\07_811_orig_910_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\811_orig_910.npy
8,859_orig_958.jpg,Neutral,1568,0.5085696715422363,0.5383556192303651,0.6808820697994896,0.7564955243031943,0.5695169352180047,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\08_859_orig_958_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\859_orig_958.npy
9,584_orig_683.jpg,Negativo,1524,0.6847154291870292,0.677734907297878,0.4069793606925278,0.7122023417972358,0.5976534828902577,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\09_584_orig_683_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\584_orig_683.npy
10,91_orig_90.jpg,Positivo,1580,0.501363843364298,0.5284512639492231,0.7118367016286582,0.7421932048335006,0.38343752114633317,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\10_91_orig_90_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\91_orig_90.npy
