trial_index,filename,original_emotion,perceived_emotion_majority,perceived_emotion_total_responses,perceived_prop_Positive,perceived_count_Positive,perceived_prop_Neutral,perceived_count_Neutral,perceived_prop_Negative,perceived_count_Negative,viewing_mean_fixation_count,viewing_mean_dwell_time_s,viewing_mean_mean_fixation_duration_ms,viewing_mean_fixation_density_per_megapixel,aoi_mean_face_area_normalized_density,aoi_mean_text_area_normalized_density,aoi_mean_face_dwell_proportion,aoi_mean_text_dwell_proportion,aoi_mean_face_fixation_proportion,aoi_mean_text_fixation_proportion,aoi_mean_face_ttff_ms,aoi_mean_text_ttff_ms,CC,SIM,KL_empirical_to_prediction,AUC_Judd,NSS,n_fixations_for_auc_nss,efficientnet_true_label,efficientnet_predicted_label,efficientnet_predicted_probability,intended_matches_perceived_majority,intended_matches_efficientnet,deepgaze_nss_agreement_level,deepgaze_auc_agreement_level,semantic_attention_emphasis
1,906_orig_1037.jpg,Negative,Neutral,37,0.3783783783783784,14,0.6216216216216216,23,0.0,0,44.891891891891895,7.806373216171013,174.12450185815658,30.790049308567827,,0.650964290930682,0.0,0.00335369271530867,0.0,0.004073661310323414,,6335.38558332657,0.6121342026115937,0.6283958228664585,0.5230342227192708,0.8641874174020698,1.0629343412805945,1661,Negative,Neutral,0.3908189237117767,False,False,moderate,strong,text_more_than_face
2,1420_orig_1915.jpg,Negative,Neutral,37,0.4594594594594595,17,0.5405405405405406,20,0.0,0,44.24324324324324,7.454483797304002,169.53877204165315,60.113102232667444,1.0001635409153922,0.71664782081052,0.14375866922326633,0.1252068087166071,0.15159544017711613,0.1257337180073935,2723.113750002098,2458.8632500028552,0.5028025670896548,0.4902043120080265,0.9169326911715832,0.6177867330793816,0.001978741318974,1637,Negative,Positive,0.4225303828716278,False,False,weak,moderate,face_more_than_text
3,790_orig_889.jpg,Neutral,Neutral,37,0.32432432432432434,12,0.6756756756756757,25,0.0,0,44.16216216216216,7.376973148708704,167.42568816131143,30.26712871272457,,13.531104050811134,0.0,0.1369107337080826,0.0,0.13443189154848134,,1570.615671866932,0.5124805276727299,0.5688552128685531,0.597432092906788,0.8125566266070312,0.9921295710920328,1634,Neutral,Neutral,0.3907805979251861,True,True,weak,strong,text_more_than_face
4,51_orig_50.jpg,Positive,Neutral,35,0.37142857142857144,13,0.4857142857142857,17,0.14285714285714285,5,45.34285714285714,7.641917100033099,169.0575253936465,31.099353321575546,,,0.0,0.0,0.0,0.0,,,0.5380258250378356,0.593926036730444,0.5915928543155199,0.8135092697873867,1.1066424585091523,1587,Positive,Neutral,0.3669434785842895,False,False,moderate,strong,equal_face_text
5,77_orig_76.jpg,Positive,Positive,35,0.6571428571428571,23,0.22857142857142856,8,0.11428571428571428,4,45.82857142857143,7.435945557181146,162.537453312587,31.40922459945406,,2.670422224720589,0.0,0.5839186712585244,0.0,0.5813697401972096,,151.0867714235376,0.3333399963624118,0.5091997898937726,0.7655760352204399,0.7648714854103082,0.6430893840508513,1604,Positive,Negative,0.3870366811752319,True,False,weak,strong,text_more_than_face
6,1150_orig_1386.jpg,Negative,Neutral,36,0.2222222222222222,8,0.6666666666666666,24,0.1111111111111111,4,43.611111111111114,7.500164652829265,171.96484184901044,29.911598841639993,2.759829903998064,2.122404919251838,0.06631690807725252,0.014479094956154494,0.06619238128457357,0.014539492684147701,2838.5508684150172,1824.2038333336395,0.4221122503508624,0.482220261965886,0.9405793802873672,0.8399189862833364,1.098708978615406,1570,Negative,Positive,0.4142854809761047,False,False,moderate,strong,face_more_than_text
7,811_orig_910.jpg,Neutral,Neutral,35,0.2571428571428571,9,0.5714285714285714,20,0.17142857142857143,6,46.77142857142857,7.495110457195772,160.4863659162807,40.09896139525769,,0.45993991668703355,0.0,0.03471180848641609,0.0,0.0334454080192422,,2981.865210530965,0.3800150350678317,0.4781711938692528,0.8854943869304799,0.7082006583223805,0.5289597548858942,1637,Neutral,Negative,0.3704147636890411,True,False,weak,strong,text_more_than_face
8,859_orig_958.jpg,Neutral,Neutral,35,0.2857142857142857,10,0.6285714285714286,22,0.08571428571428572,3,44.8,7.45369862854874,166.34952143244192,30.72702331961591,,2.179404705403756,0.0,0.001923424283002943,0.0,0.0018311184939091888,,4815.569833333332,0.5085696715422363,0.5383556192303651,0.6808820697994896,0.7564955243031943,0.5695169352180047,1568,Neutral,Neutral,0.3630535006523132,True,True,weak,strong,text_more_than_face
9,584_orig_683.jpg,Negative,Positive,34,0.6176470588235294,21,0.3235294117647059,11,0.058823529411764705,2,44.8235294117647,7.240356588237453,161.61054534907433,97.2732843137255,,0.0,0.0,0.0,0.0,0.0,,,0.6847154291870292,0.677734907297878,0.4069793606925278,0.7122023417972358,0.5976534828902577,1524,Negative,Positive,0.3585129976272583,False,False,weak,strong,equal_face_text
10,91_orig_90.jpg,Positive,Neutral,36,0.2777777777777778,10,0.6388888888888888,23,0.08333333333333333,3,43.888888888888886,7.345352486031294,167.62675011278398,30.102118579484834,1.0625175927825394,0.0,0.030288620738053853,0.0,0.03168022276642148,0.0,4171.97768181524,,0.501363843364298,0.5284512639492231,0.7118367016286582,0.7421932048335006,0.3834375211463331,1580,Positive,Negative,0.4313143193721771,False,False,weak,strong,face_more_than_text
11,272_orig_271.jpg,Positive,Neutral,36,0.2222222222222222,8,0.7222222222222222,26,0.05555555555555555,2,45.416666666666664,7.156865791689303,157.82617688580592,38.937471422039316,,0.09543287026971095,0.0,0.0016037258618000695,0.0,0.0018112936231403111,,1612.92699999467,0.2560450347165653,0.4519705634950506,0.9428226657806488,0.6285233747971152,0.0450823472336648,1635,Positive,Negative,0.393568605184555,False,False,weak,moderate,text_more_than_face
12,796_orig_895.jpg,Negative,Positive,35,0.4857142857142857,17,0.4,14,0.11428571428571428,4,45.34285714285714,7.477027685678903,165.35530530530664,58.311287477954146,,,0.0,0.0,0.0,0.0,,,0.7293869127060225,0.67653303518093,0.3532560936437606,0.8071612579982542,1.0483198537511482,1587,Negative,Neutral,0.3628118932247162,False,False,moderate,strong,equal_face_text
13,41_orig_40.jpg,Negative,Positive,36,0.4166666666666667,15,0.3611111111111111,13,0.2222222222222222,8,46.94444444444444,7.595904527760303,162.1629257579189,32.19783569577808,,1.0013851243647869,0.0,0.16397948926868647,0.0,0.15971268548330808,,1777.0339857149047,0.5325953636289952,0.5704726859602888,0.6077543766757976,0.7115254148836238,0.5122255338987312,1690,Negative,Negative,0.3688331842422485,False,True,weak,strong,text_more_than_face
14,336_orig_435.jpg,Neutral,Positive,36,0.5,18,0.3888888888888889,14,0.1111111111111111,4,43.833333333333336,7.443657430556107,170.01196611736697,30.064014631915867,,0.0,0.0,0.0,0.0,0.0,,,0.6406058234992259,0.6223985847198854,0.4644719095768117,0.7890068515374664,0.4243348459646089,1578,Neutral,Neutral,0.4097414910793304,False,True,weak,strong,equal_face_text
15,361_orig_460.jpg,Negative,Neutral,36,0.3888888888888889,14,0.4166666666666667,15,0.19444444444444445,7,45.138888888888886,7.485050152728348,166.7198098674096,38.69932174973327,,0.06768207918720577,0.0,0.0009160088681129918,0.0,0.0011701038467163917,,5902.988749963697,0.4579723156776027,0.5256514786523176,0.6621426741042704,0.6677881568056714,-0.0569421845355963,1625,Negative,Positive,0.3672404885292053,False,False,poor_or_inverse,moderate,text_more_than_face
16,640_orig_739.jpg,Neutral,Neutral,35,0.2,7,0.6571428571428571,23,0.14285714285714285,5,45.714285714285715,7.271795028613438,159.90090803466504,39.19263178522437,1.8390859379851003,1.6151026586129789,0.08036759363502519,0.3792177377654505,0.08670382007013086,0.36614809294101125,2246.6120192433523,615.5098636414881,0.6205787379148167,0.6134597993125653,0.6002810125533438,0.742031351295159,0.4554114478624959,1600,Neutral,Negative,0.3790209889411926,True,False,weak,strong,text_more_than_face
