"metric","grouping_variable","category","observations","mean","standard_deviation","median","minimum","maximum"
"fixation_count","original_emotion","Neutral",692,45.5447976878613,6.45025619833302,47,21,59
"fixation_count","original_emotion","Negative",697,45.0315638450502,6.45867784717844,46,21,62
"fixation_count","original_emotion","Positive",690,45.9565217391304,6.42119762081759,47,21,62
"fixation_count","response_emotion","Neutral",1057,44.6925260170293,6.84217860785817,46,21,62
"fixation_count","response_emotion","Negative",237,47.7172995780591,5.21246024726944,48,23,59
"fixation_count","response_emotion","Positive",785,45.9426751592357,6.04325610619037,47,21,62
"dwell_time_s","original_emotion","Neutral",692,7.4696986062169,1.11252364849164,7.71255350008869,3.06692350000026,9.62602099991636
"dwell_time_s","original_emotion","Negative",697,7.4292481700132,1.14806270985241,7.66980599996168,2.85492900005192,9.39183199987747
"dwell_time_s","original_emotion","Positive",690,7.4613017181044,1.10657367657601,7.72992950037587,2.47526949999974,9.27985700010322
"dwell_time_s","response_emotion","Neutral",1057,7.36394015373741,1.20560865257547,7.62695099998382,2.47526949999974,9.62602099991636
"dwell_time_s","response_emotion","Negative",237,7.63158690713216,0.905606682372724,7.80648049979936,3.35443599984865,9.1875529999088
"dwell_time_s","response_emotion","Positive",785,7.51992962548097,1.05283887650398,7.75359399999934,2.85492900005192,9.31886800052598
"mean_fixation_duration_ms","original_emotion","Neutral",692,164.423187338144,15.3109110964643,163.607801651381,125.869169642621,211.392371804836
"mean_fixation_duration_ms","original_emotion","Negative",697,165.409247868621,17.0720470513655,164.908586958874,116.821921875005,211.564136365434
"mean_fixation_duration_ms","original_emotion","Positive",690,162.751624559929,15.9620012513009,161.568781248661,103.136229166656,215.810627909377
"mean_fixation_duration_ms","response_emotion","Neutral",1057,165.115475402207,16.3983830414889,164.138648649159,103.136229166656,215.810627909377
"mean_fixation_duration_ms","response_emotion","Negative",237,160.449016611722,15.6486778772443,160.916940474895,123.301717391334,203.475544445003
"mean_fixation_duration_ms","response_emotion","Positive",785,164.097118358809,15.8477061119757,162.721460002358,116.203339999993,214.241081385787
"fixation_density_per_megapixel","original_emotion","Neutral",692,50.4804309099027,45.756708420517,34.2935528120713,14.3926309729419,237.648530331457
"fixation_density_per_megapixel","original_emotion","Negative",697,45.4115727256543,27.6250713929108,34.2935528120713,15.7750342935528,158.182888712479
"fixation_density_per_megapixel","original_emotion","Positive",690,84.5795806775314,154.949833322274,38.5802469135802,16.4609053497942,920.109143981217
"fixation_density_per_megapixel","response_emotion","Neutral",1057,48.404417042742,55.8266764770339,34.2935528120713,14.3926309729419,761.469636398249
"fixation_density_per_megapixel","response_emotion","Negative",237,109.617452399518,185.293131677452,40.2949245541838,15.7750342935528,920.109143981217
"fixation_density_per_megapixel","response_emotion","Positive",785,60.8935414191927,94.6814215801303,34.9794238683128,16.4609053497942,920.109143981217
