trial_index,emotion,filename,orig_w,orig_h,cv_left,cv_top,cv_right,cv_bottom,obs_left,obs_top,obs_right,obs_bottom,surf_left,surf_top,surf_right,surf_bottom
1,Negativo,906_orig_1037.jpg,1080,1350,160.0,0.0,640.0,600.0,634.8,136.0,1285.2,944.0,0.2748571428571428,0,0.7394285714285714,1
2,Negativo,1420_orig_1915.jpg,736,1000,179.20000000000002,0.0,620.8,600.0,660.816,136.0,1259.184,944.0,0.29344000000000003,0,0.7208457142857143,1
3,Neutral,790_orig_889.jpg,1080,1351,160.1776461880089,0.0,639.8223538119911,600.0,635.0407105847521,136.0,1284.959289415248,944.0,0.27502907898910867,0,0.7392566352966057,1
4,Positivo,51_orig_50.jpg,1080,1350,160.0,0.0,640.0,600.0,634.8,136.0,1285.2,944.0,0.2748571428571428,0,0.7394285714285714,1
5,Positivo,77_orig_76.jpg,1080,1351,160.1776461880089,0.0,639.8223538119911,600.0,635.0407105847521,136.0,1284.959289415248,944.0,0.27502907898910867,0,0.7392566352966057,1
6,Negativo,1150_orig_1386.jpg,1080,1350,160.0,0.0,640.0,600.0,634.8,136.0,1285.2,944.0,0.2748571428571428,0,0.7394285714285714,1
7,Neutral,811_orig_910.jpg,1080,1080,100.0,0.0,700.0,600.0,553.5,136.0,1366.5,944.0,0.21678571428571428,0,0.7975,1
8,Neutral,859_orig_958.jpg,1080,1350,160.0,0.0,640.0,600.0,634.8,136.0,1285.2,944.0,0.2748571428571428,0,0.7394285714285714,1
9,Negativo,584_orig_683.jpg,512,900,229.33333333333334,0.0,570.6666666666666,600.0,728.7466666666667,136.0,1191.253333333333,944.0,0.34196190476190474,0,0.6723238095238093,1
10,Positivo,91_orig_90.jpg,1080,1350,160.0,0.0,640.0,600.0,634.8,136.0,1285.2,944.0,0.2748571428571428,0,0.7394285714285714,1
11,Positivo,272_orig_271.jpg,1080,1080,100.0,0.0,700.0,600.0,553.5,136.0,1366.5,944.0,0.21678571428571428,0,0.7975,1
12,Negativo,796_orig_895.jpg,1080,720,0.0,33.33333333333337,800.0,566.6666666666666,418.0,180.88888888888894,1502.0,899.1111111111111,0.12,0,0.8942857142857142,1
13,Negativo,41_orig_40.jpg,1080,1350,160.0,0.0,640.0,600.0,634.8,136.0,1285.2,944.0,0.2748571428571428,0,0.7394285714285714,1
14,Neutral,336_orig_435.jpg,1080,1350,160.0,0.0,640.0,600.0,634.8,136.0,1285.2,944.0,0.2748571428571428,0,0.7394285714285714,1
15,Negativo,361_orig_460.jpg,1080,1080,100.0,0.0,700.0,600.0,553.5,136.0,1366.5,944.0,0.21678571428571428,0,0.7975,1
16,Neutral,640_orig_739.jpg,1080,1080,100.0,0.0,700.0,600.0,553.5,136.0,1366.5,944.0,0.21678571428571428,0,0.7975,1
17,Positivo,1123_orig_1359.jpg,736,736,100.0,0.0,700.0,600.0,553.5,136.0,1366.5,944.0,0.21678571428571428,0,0.7975,1
