metric,grouping_variable,original_emotion,observations,mean,standard_deviation,median,minimum,maximum,response_emotion
dwell_time_s,original_emotion,Neutral,692,7.469698606216898,1.112523648491643,7.7125535000886885,3.066923500000257,9.626020999916364,
dwell_time_s,original_emotion,Negative,697,7.429248170013198,1.148062709852413,7.669805999961682,2.854929000051925,9.391831999877468,
dwell_time_s,original_emotion,Positive,690,7.461301718104398,1.1065736765760128,7.729929500375874,2.47526949999974,9.27985700010322,
dwell_time_s,response_emotion,,1057,7.3639401537374125,1.2056086525754668,7.626950999983819,2.47526949999974,9.626020999916364,Neutral
dwell_time_s,response_emotion,,237,7.631586907132156,0.905606682372724,7.806480499799363,3.354435999848647,9.187552999908803,Negative
dwell_time_s,response_emotion,,785,7.519929625480968,1.052838876503979,7.753593999999339,2.854929000051925,9.318868000525981,Positive
fixation_count,original_emotion,Neutral,692,45.54479768786127,6.450256198333026,47.0,21.0,59.0,
fixation_count,original_emotion,Negative,697,45.031563845050215,6.45867784717844,46.0,21.0,62.0,
fixation_count,original_emotion,Positive,690,45.95652173913044,6.421197620817587,47.0,21.0,62.0,
fixation_count,response_emotion,,1057,44.69252601702933,6.842178607858173,46.0,21.0,62.0,Neutral
fixation_count,response_emotion,,237,47.71729957805907,5.212460247269444,48.0,23.0,59.0,Negative
fixation_count,response_emotion,,785,45.94267515923567,6.043256106190369,47.0,21.0,62.0,Positive
mean_fixation_duration_ms,original_emotion,Neutral,692,164.42318733814395,15.310911096464269,163.60780165138078,125.8691696426207,211.3923718048355,
mean_fixation_duration_ms,original_emotion,Negative,697,165.4092478686207,17.072047051365537,164.9085869588737,116.8219218750046,211.5641363654339,
mean_fixation_duration_ms,original_emotion,Positive,690,162.7516245599295,15.962001251300897,161.56878124866125,103.1362291666558,215.8106279093772,
mean_fixation_duration_ms,response_emotion,,1057,165.11547540220693,16.39838304148886,164.1386486491585,103.1362291666558,215.8106279093772,Neutral
mean_fixation_duration_ms,response_emotion,,237,160.44901661172216,15.648677877244298,160.9169404748952,123.3017173913338,203.4755444450032,Negative
mean_fixation_duration_ms,response_emotion,,785,164.0971183588086,15.847706111975672,162.7214600023581,116.2033399999927,214.2410813857866,Positive
fixation_density_per_megapixel,original_emotion,Neutral,692,50.48043090990267,45.756708420516986,34.29355281207133,14.39263097294185,237.6485303314572,
fixation_density_per_megapixel,original_emotion,Negative,697,45.411572725654274,27.62507139291082,34.29355281207133,15.77503429355281,158.1828887124792,
fixation_density_per_megapixel,original_emotion,Positive,690,84.57958067753142,154.949833322274,38.58024691358025,16.46090534979424,920.1091439812171,
fixation_density_per_megapixel,response_emotion,,1057,48.40441704274199,55.82667647703394,34.29355281207133,14.39263097294185,761.4696363982487,Neutral
fixation_density_per_megapixel,response_emotion,,237,109.61745239951824,185.29313167745232,40.29492455418381,15.77503429355281,920.1091439812171,Negative
fixation_density_per_megapixel,response_emotion,,785,60.89354141919268,94.68142158013025,34.97942386831276,16.46090534979424,920.1091439812171,Positive
