model,term,estimate_log_scale,standard_error,z_value,p_value,ci_95_lower,ci_95_upper,approx_percent_change
Null,Intercept,2.1197361832376367,0.019328911532488165,109.66660899010117,0.0,2.08185151663396,2.1576208498413134,732.8939883863995
Original emotion,Intercept,2.1223019805703984,0.019582342260302015,108.3783519029182,0.0,2.0839205897402064,2.1606833714005904,735.0337695087184
Original emotion,"C(original_emotion, Treatment(reference='Neutral'))[T.Negative]",-0.005135443220800615,0.005430765689358728,-0.9456204731614953,0.34434219809228517,-0.015779743971943722,0.005508857530342492,-0.5122279375963054
Original emotion,"C(original_emotion, Treatment(reference='Neutral'))[T.Positive]",-0.0025246196654003274,0.005444255388701481,-0.4637217553459554,0.6428471083685172,-0.01319536022725523,0.008146120896454575,-0.25214354933443156
Reported emotion,Intercept,2.121048884712677,0.019528702630795036,108.61186863319689,0.0,2.0827726275563188,2.159325141869035,733.9880474828959
Reported emotion,"C(response_emotion, Treatment(reference='Neutral'))[T.Negative]",-0.002118876072200072,0.008215367459410523,-0.2579161653655487,0.7964716086790944,-0.018220996292644696,0.013983244148244554,-0.21166328389528702
Reported emotion,"C(response_emotion, Treatment(reference='Neutral'))[T.Positive]",-0.002808774778843987,0.005465222741150555,-0.513936011737497,0.6072967288237123,-0.013520611351499075,0.0079030617938111,-0.28048338615446944
Combined,Intercept,2.1237093763120845,0.01978185849353493,107.35641330192261,0.0,2.084936933664756,2.162481818959413,736.2098198701012
Combined,"C(original_emotion, Treatment(reference='Neutral'))[T.Negative]",-0.005230021951676514,0.005433140480709184,-0.9626148946904909,0.33574081998199234,-0.015878977293866513,0.005418933390513486,-0.5216369198638237
Combined,"C(original_emotion, Treatment(reference='Neutral'))[T.Positive]",-0.0024509902398944534,0.005452336474231025,-0.4495302612886031,0.6530491833057921,-0.01313756972938726,0.008235589249598354,-0.24479890158074746
Combined,"C(response_emotion, Treatment(reference='Neutral'))[T.Negative]",-0.0023261309161084222,0.008240829516567549,-0.2822690253974938,0.7777372344219049,-0.018478156768580816,0.013825894936363973,-0.23234275701074775
Combined,"C(response_emotion, Treatment(reference='Neutral'))[T.Positive]",-0.002975953299849654,0.00547042083862241,-0.5440081097305621,0.586435892209836,-0.013697978143549578,0.007746071543850271,-0.29715295402169695
