file,rows,NR,NO RESPONDE
respuestas_emociones_U1.csv,60,0,0
respuestas_emociones_U10.csv,60,51,51
respuestas_emociones_U11.csv,60,59,59
respuestas_emociones_U12.csv,60,2,2
respuestas_emociones_U13.csv,60,0,0
respuestas_emociones_U14.csv,60,1,1
respuestas_emociones_U15.csv,60,20,20
respuestas_emociones_U16.csv,60,45,45
respuestas_emociones_U17.csv,60,0,0
respuestas_emociones_U18.csv,60,0,0
respuestas_emociones_U19.csv,60,1,1
respuestas_emociones_U2.csv,60,0,0
respuestas_emociones_U20.csv,60,60,60
respuestas_emociones_U21.csv,60,2,2
respuestas_emociones_U22.csv,60,55,55
respuestas_emociones_U23.csv,60,1,1
respuestas_emociones_U24.csv,60,5,5
respuestas_emociones_U25.csv,60,3,3
respuestas_emociones_U26.csv,60,5,5
respuestas_emociones_U27.csv,60,2,2
respuestas_emociones_U28.csv,60,10,10
respuestas_emociones_U29.csv,60,9,9
respuestas_emociones_U3.csv,60,1,1
respuestas_emociones_U30.csv,60,42,42
respuestas_emociones_U31.csv,60,0,0
respuestas_emociones_U32.csv,60,1,1
respuestas_emociones_U33.csv,60,51,51
respuestas_emociones_U34.csv,60,2,2
respuestas_emociones_U35.csv,60,4,4
respuestas_emociones_U36.csv,60,3,3
respuestas_emociones_U37.csv,60,1,1
respuestas_emociones_U38.csv,60,1,1
respuestas_emociones_U4.csv,60,2,2
respuestas_emociones_U5.csv,60,0,0
respuestas_emociones_U6.csv,60,0,0
respuestas_emociones_U7.csv,60,8,8
respuestas_emociones_U8.csv,60,10,10
respuestas_emociones_U9.csv,60,0,0
