world_index,world_timestamp,surface_name,event_type
0,61337.166382,Surface 1,enter
22,61338.054622,Surface 1,exit
499,61354.014551,Surface 1,enter
591,61358.17332,Surface 1,exit
889,61368.711963,Surface 1,enter
1618,61393.15543,Surface 1,exit
1651,61394.259379,Surface 1,enter
1658,61394.495473,Surface 1,exit
1660,61394.563595,Surface 1,enter
1857,61401.163509,Surface 1,exit
2148,61410.915554,Surface 1,enter
2148,61410.915554,Surface 1,exit
2153,61411.083644,Surface 1,enter
2153,61411.083644,Surface 1,exit
2166,61411.519295,Surface 1,enter
2166,61411.519295,Surface 1,exit
2168,61411.583467,Surface 1,enter
2168,61411.583467,Surface 1,exit
2170,61411.651491,Surface 1,enter
2170,61411.651491,Surface 1,exit
2175,61411.819468,Surface 1,enter
2177,61411.887474,Surface 1,exit
2190,61412.323535,Surface 1,enter
2190,61412.323535,Surface 1,exit
2192,61412.391494,Surface 1,enter
2370,61418.355815,Surface 1,exit
2372,61418.419441,Surface 1,enter
2423,61420.131453,Surface 1,exit
2425,61420.195621,Surface 1,enter
2729,61430.38333,Surface 1,exit
2756,61431.287203,Surface 1,enter
2773,61431.859773000004,Surface 1,exit
2775,61431.927333,Surface 1,enter
2866,61434.975453,Surface 1,exit
2868,61435.043622,Surface 1,enter
2874,61435.243436,Surface 1,exit
2876,61435.311274,Surface 1,enter
2904,61436.247441,Surface 1,exit
2926,61436.987531,Surface 1,enter
2932,61437.187495,Surface 1,exit
2934,61437.255458,Surface 1,enter
2938,61437.387506,Surface 1,exit
3274,61448.647471000004,Surface 1,enter
3283,61448.947435,Surface 1,exit
3301,61449.551536,Surface 1,enter
3313,61449.955502,Surface 1,exit
3325,61450.35547,Surface 1,enter
6319,61550.841055,Surface 1,exit
6737,61565.76591,Surface 1,enter
6794,61568.712926,Surface 1,exit
7091,61579.23543,Surface 1,enter
7551,61594.687443,Surface 1,exit
7553,61594.751614,Surface 1,enter
7554,61594.78761,Surface 1,exit
7556,61594.855475,Surface 1,enter
7793,61602.79574,Surface 1,exit
7795,61602.863453,Surface 1,enter
8134,61614.223592,Surface 1,exit
8140,61614.423515,Surface 1,enter
8494,61626.287734,Surface 1,exit
8502,61626.556021,Surface 1,enter
8667,61632.08363,Surface 1,exit
8673,61632.283695,Surface 1,enter
35848,62543.06414,Surface 1,exit
