trial_index,original_emotion,filename,aoi_id,aoi_type,x1,y1,x2,y2,width,height,area_px,area_prop,confidence,source,text,verification_status,verification_notes,img_w,img_h,image_path
1,Negativo,906_orig_1037.jpg,906_orig_1037_text_01,text,456,844,494,888,38,44,1672,0.0011467764060356653,0.9987648965289395,easyocr,M,needs_review,,1080,1350,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\906_orig_1037.jpg
1,Negativo,906_orig_1037.jpg,906_orig_1037_text_02,text,499,839,637,893,138,54,7452,0.005111111111111111,0.6689052028139879,easyocr,IA 115E,needs_review,,1080,1350,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\906_orig_1037.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_face_01,face,175,172,509,506,334,334,111556,0.15157065217391305,0.8220468759536743,mediapipe_face_detection,,needs_review,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_01,text,554,238,694,298,140,60,8400,0.01141304347826087,0.9080782656292462,easyocr,FASHION'S MORE-IS-,needs_review,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_02,text,13,263,199,319,186,56,10416,0.014152173913043478,0.9982281720052812,easyocr,MARGOT,needs_review,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_03,text,580,282,666,320,86,38,3268,0.004440217391304348,0.723149805918122,easyocr,MORE,needs_review,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_04,text,13,298,162,352,149,54,8046,0.010932065217391304,0.9999619422521018,easyocr,ROBBIE,needs_review,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_05,text,568,302,680,344,112,42,4704,0.006391304347826087,0.9888763828138208,easyocr,SEASON,needs_review,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_06,text,16,335,182,394,166,59,9794,0.013307065217391304,0.7016797364309882,easyocr,"FEARLESS, FUN, AND DEFYING",needs_review,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
2,Negativo,1420_orig_1915.jpg,1420_orig_1915_text_07,text,14,378,192,436,178,58,10324,0.014027173913043478,0.9998960351026747,easyocr,HOLLYWOOD'S EXPECTATIONS,needs_review,,736,1000,C:\Users\Martin\Desktop\memoria\imagenes\top_imagenes\negative\1420_orig_1915.jpg
